client_hash_id,content_hash_id,final_refresh_score,reason_code,action,confidence,model_probability,imp_90d,pos_90d,content_age_days,trend_ratio_90d
client_9958f0a7ae1df715,content_72c75707d1121d5a,53.47052919561895,MODEL_DECLINE_RISK,refresh_now,high,0.763519110511607,822.0,65.17677675628656,447,1.0220588235294117
client_23a62021009f63c4,content_92eaabff34472c9d,53.22173543049449,MODEL_DECLINE_RISK,refresh_now,high,0.7603105061499212,1320.0,23.957728815944595,159,8.731707317073171
client_23a62021009f63c4,content_f520e8732cd4263e,52.993038864180754,MODEL_DECLINE_RISK,refresh_now,high,0.7540318825123887,7163.0,14.855932629806238,229,1.1842631695932428
client_23a62021009f63c4,content_323d4c1e56a0ba87,52.959533027353714,MODEL_DECLINE_RISK,refresh_now,high,0.7551189036880485,3439.0,18.418872468692623,217,1.8360290016731735
client_fef1a8f436438636,content_a1a9c6701af9b379,52.94682274120183,MODEL_DECLINE_RISK,refresh_now,high,0.7545774413173292,4295.0,13.62712307627271,240,1.672509619495511
client_23a62021009f63c4,content_6e977f73c8dbaa1e,52.508614686256195,MODEL_DECLINE_RISK,refresh_now,high,0.7458977598374624,10050.0,18.542943995997092,229,1.497476944492779
client_e547b89c05043229,content_117e661f0dee1b4c,52.23388618203656,MODEL_DECLINE_RISK,refresh_now,high,0.7453751748928221,979.0,27.799761239347824,277,0.40836408364083643
client_23a62021009f63c4,content_555d951832e9e1a2,52.22292264903475,MODEL_DECLINE_RISK,refresh_now,high,0.746041752129068,5334.0,26.484998806381626,153,1.8277717976318621
client_23a62021009f63c4,content_6bacfd079d716164,52.20366899964185,MODEL_DECLINE_RISK,refresh_now,high,0.7457666999948835,7267.0,20.94846629050289,141,3.4414077124672406
client_23a62021009f63c4,content_f4836a93f6f6ee01,52.15791138791557,MODEL_DECLINE_RISK,refresh_now,high,0.7451130198273653,5884.0,17.315914117930568,83,3.2442067736185383
client_23a62021009f63c4,content_c027b95f559d757a,52.10143381875163,MODEL_DECLINE_RISK,refresh_now,high,0.7443061974107376,2918.0,28.086982488676032,166,2.7255060728744938
client_23a62021009f63c4,content_f0f1af8dd4f7d083,51.91008861023689,MODEL_DECLINE_RISK,refresh_now,high,0.7415726944319557,1687.0,9.104084231483816,78,3.9192982456140353
client_23a62021009f63c4,content_bb20c83862050d93,51.90885436026665,MODEL_DECLINE_RISK,refresh_now,high,0.7415550622895236,7591.0,32.300463678485116,146,1.7011214041930764
client_e547b89c05043229,content_74e29de4a071dc86,51.79862150577762,MODEL_DECLINE_RISK,refresh_now,high,0.7399803072253945,4274.0,27.23671578694633,158,1.752414398595259
client_9958f0a7ae1df715,content_8c3cc37e10d11677,51.63502807279079,MODEL_DECLINE_RISK,refresh_now,high,0.7373577871850093,679.0,7.155538634577988,447,2.25705329153605
